"","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26"
"Mean",367596162.898701,1851973555.81826,1416102297.35695,1459444294.93005,734850422.929857,505108420.900748,651581591.373004,213734184.275117,90993318.1762643,191037404.279697,32033557.6328163,432706712.179722,141091634.281454,636435357.160971,362319048.606666,127475884.450582,306149106.792742,181662511.178844,374000877.943468,461406490.126687,2836636692.18214,258268799.587493,283315330.253693,339537590.623178,178997268.757416,45617977.7451144
"Std Dev",77501825.4315818,240337028.723405,93802809.6664417,271357216280.059,99789297.9361235,58589747.9520014,141008194.773768,40243783.6234814,1282535097.46174,78918130.6475998,33054382.0968784,2688590252.86761,45231175.1660242,59886936.1982044,100213926.086256,27438043.4063508,158507252.797344,3794522498.66778,65291851.6213296,713029682.728636,424260709598.736,26156360.8054539,310828131.748774,19895113651.1772,148156402.713142,1311164936.57677
"CV",0.210834152403651,0.129773466779992,0.0662401366352682,185.931876415375,0.135795387499761,0.11599439947471,0.216409113825081,0.188288942922111,14.094827215525,0.413103030504204,1.03186734598021,6.21342395943912,0.320580135004998,0.0940974374292305,0.276590277192543,0.215241051471093,0.517745272745971,20.8877576008631,0.174576733563708,1.54533951729388,149.564697787352,0.101275728416405,1.09711017568462,58.5947306001149,0.827702029989795,28.7422854187611
"0.05",259858268.71781,1495196863.00453,1270502986.59253,-2648119291.68337,587052025.304226,415905903.592963,441117519.304216,157753753.450515,14649773.7148404,88667876.7478905,-6170207.8759737,219735869.854267,88882777.7285712,542446832.486011,234515311.955844,87061865.3335373,169566351.914127,54189976.8460361,279548608.774461,254225427.751533,-164591772.610048,219223195.511034,139230716.248998,-139500155.790068,111426444.642229,-20414605.6188051
"0.1",284405955.511837,1579092732.61112,1300554465.34642,-1073370626.99441,618804630.988197,433955719.68887,489658851.030683,167746368.020798,33555491.6975689,108044495.749172,3377186.30608654,297052512.349718,98742722.9630609,562409691.252845,266402062.873018,95873652.6873425,195842375.395034,93007036.2820672,302966038.228646,297615096.822762,-16068475.9789922,227885670.82413,170044182.298216,69052153.4957633,129104468.022666,-1642471.49540305
"0.15",299067002.180191,1631367075.74197,1321362559.17025,-522003487.197985,640341020.142443,446226911.700141,521128716.50432,174743966.702784,45045968.6860142,119884809.02145,9380824.130445,337421150.526497,105246804.443166,576125559.07465,285472273.51846,101535544.593334,213801271.240035,114975391.377485,315178018.320203,325730086.355064,43623253.4600031,233519483.016873,189173897.627097,168636556.884851,139485307.125881,8174091.17920995
"0.2",311183553.480602,1671292294.83905,1337691119.21994,-223433601.871147,656582333.846388,456107668.365939,545849140.777556,180801992.811134,53550535.3186855,130097698.779886,13738005.260704,364513874.102789,110540094.13379,586619596.033993,299482102.512986,106129388.422704,227802855.600317,131428108.763725,326000864.341497,347989048.094611,77657193.3411976,238089511.01427,204538393.776413,229150209.618574,147186397.933867,15080397.7209892
"0.25",320553174.027096,1705307458.60478,1351990036.51822,-27929203.2601657,670121517.165895,465019577.640033,566234359.583899,185827557.676176,60535095.0376682,138907249.678289,17468692.8654289,385616095.190678,115226926.27209,595904170.469665,311562709.433107,109682286.583995,239885517.821601,145597066.966883,334976431.782154,367124358.700121,101741699.64788,241821143.368502,217906712.140641,276624691.541756,153493283.395949,20501263.2429966
"0.3",329479883.535101,1734379257.54806,1364775104.8101,110328595.710495,682951874.547894,472881371.601979,584402970.455799,190730137.113609,66574453.723094,146762679.7057,20776596.2356424,404294256.00536,119449599.68233,604120670.152604,321536640.373066,113174275.976563,250693819.110118,158448868.59725,342845007.073537,383382163.386761,120832991.374315,245170003.112891,229223877.411372,314898565.468337,159295685.404317,24967580.0615801
"0.35",337549416.420626,1763048566.52163,1377604896.53818,211545756.295283,694569136.39566,480415205.604478,600877505.607003,195385611.389815,72202278.4541636,154813420.344561,23630537.2734771,419629779.887205,123526368.172554,612002399.947273,331435585.796837,116607611.177531,261300456.423821,170043178.311384,350429975.857701,398829488.838159,137681738.690704,248290932.78453,240439505.568353,351681860.854543,164187911.92678,29259253.6917926
"0.4",345447250.26737,1787663331.76316,1389833457.6355,300638048.918733,706068694.254616,487557045.148917,617191632.099512,199705914.983392,77602115.0946112,162979389.629095,26339925.4232984,434267357.404058,127504951.998878,619463998.361256,340730321.500582,119673182.597055,271878650.879688,180973715.326196,357604636.803401,413326634.669785,153391837.255971,251184477.912683,251170894.576495,385419159.125557,168861432.80893,33231166.0811221
"0.45",353371834.08823,1813989383.2864,1400785884.66054,376666728.981456,716738184.278351,494325425.298392,631679047.139977,204268823.611666,82959078.4918594,171407930.103357,28955284.3579216,447532933.486679,131331534.501572,626850256.232726,350365824.982169,122801205.693078,282326401.469302,192307414.878576,364770627.662384,428569485.522389,167836639.5644,254140854.444478,261351583.829289,417198363.44992,173461707.651271,37115566.8287925
"0.5",361482544.998531,1839830910.2512,1411662708.14567,450640574.653474,727933272.393717,501414792.049975,646576349.67247,208654494.142551,88015200.505394,179629683.03933,31512836.1161566,460564807.735395,135219094.885024,633813561.192776,359731297.76764,125895513.804554,292784836.961839,203075181.374168,371757807.675412,443693639.388868,182850831.287413,257009613.286892,272014968.704106,450767464.442997,178140300.122082,40992424.1112558
"0.55",369299514.549099,1867930814.43649,1422845480.25346,527494167.043404,739312650.611883,508310194.991805,661776474.158858,213302660.199337,93129178.3760138,188276928.049074,34269868.4898,473414303.25902,139108187.100009,641309359.952739,369153516.476865,128834292.081852,303635703.259561,213667096.630143,379050829.309388,459607633.730898,196863616.653595,259931785.057429,282998446.848185,484374600.403062,182986398.23904,45111624.1101221
"0.6",377526159.67811,1894010061.48665,1434505367.23549,615503233.363845,751350054.260368,515698250.272845,676912313.64163,218136614.941941,98300050.2472363,197304874.285725,37013151.6019454,487423101.49445,143130764.478629,648671592.113055,379416322.126231,131937295.648232,315119618.042832,225233521.354034,386085176.047744,475801906.947242,213070714.209182,262925858.613262,294287979.64593,520208240.43755,187875463.395234,49464187.4802379
"0.65",386029075.346153,1924138671.65728,1446924564.84057,717990412.704714,764025796.076855,523468172.557031,692794436.824079,223177045.464638,103967636.782452,207432658.045338,39811283.0667849,501375565.362293,147866721.354008,656600617.359802,389786332.714556,135434939.223478,327485700.969906,238090995.962706,393585146.404138,493688602.646955,230298220.910289,266218932.067796,306340287.186937,559966481.868736,192989498.746539,54041804.3884801
"0.7",395693542.085215,1956026359.61409,1459520062.48077,847029821.022015,776602117.329205,531939575.829116,710200007.009343,228875463.216287,110177727.553258,218478498.753279,42896166.0708108,517681694.476908,152910461.58316,664829119.979678,401377433.108408,138952450.758728,341626036.06437,251504198.642335,401945435.01619,513297448.734948,249190526.042772,269440985.522549,319717639.380831,602615674.269629,198598185.768517,59277783.7273658
"0.75",405748770.496939,1990281952.63453,1473583144.64729,1024422912.60926,791385827.357887,541002979.702331,729800296.55156,235544338.459369,117060429.970039,231187621.746017,46273850.0572729,536616217.175419,158774833.010892,673545808.722573,414021051.669709,142995389.186693,356759477.230606,267166801.231276,411094411.150217,536252899.340722,271497707.798428,273138980.818948,335355347.565974,655030035.501919,204886270.422932,64968821.6386176
"0.8",417283923.268175,2029238634.82524,1489324579.77218,1258803297.54308,809028719.175629,551958307.841176,753377858.848713,243328350.311112,125109393.521959,245379824.377741,50339784.2746835,556805911.870663,165684167.203197,684168516.553974,428436428.719139,147565963.446166,374305669.28653,286648835.007873,421692624.5182,562708779.252399,299596778.151984,277416528.852325,351958409.02668,715305370.932116,212041629.255466,72123617.36138
"0.85",431158581.055456,2075338254.59243,1510164776.71355,1624945466.95298,829882227.156664,564436439.499988,782085309.049088,252686812.158241,134259637.230349,264231553.648466,55013693.7382665,583674851.84445,174243224.128098,696519042.101799,446064539.56168,153296611.358032,397235583.232023,312799745.234431,434284925.743278,594981675.696523,335303359.156017,282475577.951064,374147969.699615,797836582.778326,220510363.119528,80997277.071775
"0.9",450144694.343655,2138304348.62913,1537343469.81226,2381093849.33344,857652186.435213,581413711.725438,821325347.735173,265621953.027241,147070309.992673,290216146.821529,61265286.114912,621743487.011015,186853738.601316,713384109.375979,469134993.040362,161203615.551625,427904032.320879,348550178.934581,452692519.521785,638745356.750059,394563177.761248,289607059.916551,405149098.695382,921420888.522575,232401317.417035,93482372.5083255
"0.95",484383570.884336,2248098199.94165,1578358654.49303,4522010577.56487,900011490.544456,606024684.339652,887585967.490705,287216258.23742,168311705.588133,332346995.296858,71499418.3637538,692971159.313028,209789552.215443,739339043.742553,510208504.229758,173753760.896231,481175038.220061,419627919.982079,482960627.662382,719618668.925575,521484359.280467,301342187.552046,459985486.141933,1164069468.24283,253799520.063231,116953424.602629
